id	name	subcats	price	variants	description
2812	DIA Schleiftopf 125mm Aufnahme 22.2 mm / M14		124.00		Premium Diamantschleifteller mit Durchmesser 125 mm / Aufnahme 22.2 mm (032-102) / Aufnahme M14 IG (032-104 / 7 oder 6 Diamant-Segmente / Segmenthöhe: 5 mm / Gesamthöhe 30 mm / präzisionsgeschweißte Segmente / minimale Unwucht - vibrationsarmes Arbeiten / sehr hohe Abtragsleistung / Trockenanwendung / Anwendung auf Sanierungsschleifer Freihand / Ideal für Beton, Granit, Fliesenkleber zementär, Exp
3069	AKEMI Zylinder Pistole COX 400ml	AKEMI Produkte	119.00		Zylinder-Pistole COX 400 310/400ml Kart./Beutel / Handdruckpistole, für Kartuschen à 310 ml (ohne Kolbenmanschette), für Folienbeutel à 400 ml / Mit Alu-Zylinder
3125	FLEX L3406 VRG Winkelschleifer	Elektrogeräte|230 Volt	360.00		Beschreibung: / VR-Mikroprozessor-Elektronik: Drehzahlvorwahl, Drehzahlkonstanthaltung mittels Tachogenerator, Sanftanlauf, Wiederanlaufsperre nach Stromausfall, Überlastungsschutz und Temperaturüberwachung / Motor: hoch belastbar mit hohem Wirkungsgrad für starke Abgabeleistung / Schalter mit Einschaltsperre und Arretierung / Leichte, ergonomische Bauform mit schlankem Griff / Universalmaschine z
3129	FLEX ST 1503 Stockmaschine Ø100 mm	Elektrogeräte|230 Volt	1		Beschreibung: / Zum Stocken und Aufrauen von Oberflächen aus Natur oder Kunststein (z.B. Granit, Sandstein, Beton usw.) / Wirtschaftlich dank hohem Arbeitsfortschritt / Staubabsaugung: für den Einsatz auch in bewohnten Gebäuden / Die mit 60 aggressiven Hartmetallspitzen bestückte Maschine erledigt Aufrauharbeiten schnell und präzise / Griffhaube direkt über dem Werkzeug ermöglicht präzises Führen 
3133	FLEX SE 14-2 150 Set Supraflex	Elektrogeräte|230 Volt	770.00		Beschreibung: / VR-Elektronik: stufenlose Drehzahlvorwahl, Drehzahlkonstanthaltung mittels Tachogenerator, Überlastungsschutz, Wiederanlaufsperre und Temperaturüberwachung / Kraftvoller 1400 Watt Motor mit leistungsstarkem Lüfter für optimale Kühlung / Optimierte Luftführung für bestmögliche Kühlwirkung von Motor und Getriebe. Keine störende Abluft für den Anwender / Neuartige Kombination von Plan
3136	FLEX BWE 16-9 14 Sacklochbohrer		985.00		Beschreibung: / VR-Elektronik: mit Drehzahlkonstanthaltung mittels Tachogenerator, Überlastungsschutz und Drehzahlvorwahl mit Stellrad / Schnellkupplung aus Messing: für 1/2"-Wasserschlauch / Optimale Kühlung von Diamantbohrern durch integrierte Wasserzuführung durch die Abtriebswelle / Für Freihandbetrieb oder zum Einsatz in Bohrständern / Auch mit Wasserdruckbehälter einsetzbar / PRCD-Personensc
3239	Steinhauer-Bleistift flachoval		2.75		Steinhauerstifte 30cm lange Ausführung oval / Länge 30 cm / Profi-Ausführung / ovale Form extrem / bruchfeste Mine in Spezialhärte 10H / sehr gute Spitzeigenschaften / bestens geeignet für Markierungen auf Stein/Beton und sonstigen rauen Oberflächen
3257	Kapselgehörschutz VS 120	PSA Plattenleger	38.00		Der Kapselgehörschutz der VeriShield 100 Serie zeichnet sich durch seine Anpassungsmöglichkeiten für jede Kopfgröße und die breitere Kapselöffnung aus. / Langlebige Kapseln für anspruchsvolle, langdauernde Tätigkeiten. / Der leichte, gepolsterte Kopfbügel bietet einen perfekten Sitz. / Das weiche Memory Foam Material der Ohrmuscheln schließt dicht ab und trägt zu einem optimalen Tragekomfort und e
3279	NEMO GRABO PRO Hard-Case		490.00		NEMO GRABO PRO Akku-Vakuum Handsauger / 16 Volt Li-ion Batterie / 2h Ladezeit für Volladung / 1.5h Laufzeit / Eigengewicht: 1.5kg / Masse Saugplatte: 255x120mm / Tragfähigkeit: 120kg max. (siehe unten) / geliefert mit: Grundgerät (Gummidichtung vormontiert) inkl. 1x Akku Ladegerät und Tragegurt. Im Hardcase TENOS-Systainer / Nicht für Nassanwendung / trocken lagern / Dieser weltweit erste akku-bet
3301	Faltbare Partikelmaske 3M 10 Stück	PSA Plattenleger	141.00		3M-P3 Feinstaubpartikelmaske Flach faltbare anatomisch verbesserte Einweg-Partikelmaske der Filterklasse FFP3, aus Spezialvliesstoff, Schaumstoff-Nasenstück, Nasenbügel, Ausatemventil, zwei Gummibänder, einzelverpackt und lieferbar in Schachteln zu 10 Stück. Gewicht ca. 15 Gramm/Stück. / Die Faltmaske 3M Aura Atemschutzmaske 9332+ ermöglicht ein nahezu unbeschwertes Atmen und trägt sich äußerst an
3302	MOLDEX Feinstaubmaske M-3205 1 Stück	PSA Plattenleger	12.80		MOLDEX-3205 Feinstaubmaske FFP3, mit Ausatemventil, elastische Rundumbänderung, / Offenverkauf  1 Stück oder in Box zu 10 Mal 1 Stück. / Gegen giftige und Krebs erregende Schadstoffe bis Partikelklasse P3 bei Konzentrationen bis zum 30 fachen MAK-Wert. Typische Einsatzgebiete: Schweissen, Löten, Brennschneiden, Metallverarbeitung, Giessereien, Holzbearbeitung (Harthölzer), diverse Sanierungen, Ste
3303	Gasfilter A1 zu Moldex 7000 pro Stück	PSA Plattenleger	11.00		Gasfilter A1 Moldex 7000 nach EN 14387: 2004+A1:2008 / kann mit dem Partikelfilter oder direkt mit dem Maskenkör- / per verbunden werden. / Es braucht zwei Fiter / Preis ist pro Stück.
3304	Partikel-Filter P3 R zu MOLDEX 7000 pro Stück	PSA Plattenleger	8.00		Partikel-Ersatzfilter P3 R zu Masken MOLDEX Serie 7000 / Preis pro Filter / Es braucht 2 Filter Schutzstufe P3R.
3389	AKEMI afin® Handwaschpaste		23.00		AKEMI afin® Handwaschpaste,  800g Gramm in Dose: PH-Neutral intensive Reinigung, ist rückfettend. AKEMI® Handwaschpaste ist ein Reinigungsmittel auf Basis anionischer und nichtionischer Tenside, Glycolderivate und Kunststoffreibemehl. Das Produkt zeichnet sich durch folgende Eigenschaften aus: / gründliche und hautschonende Reinigung / keine scharfkantigen Reibkörper (z. B. Sand), sondern Kunststo
345	KSK 6 Zylinderform lang keramisch ø25x38 K24/36		6.80		Kleinschleifkörper KSK / ø 25x38mm / Schaft ø 6 mm x 40 mm / Korn 24/36 / Aus Siliziumcarbid / Form A / Aufnahme / 6mm
3460	Stukkateurspachtel 25mm		7.65		Stukkateurspachteln 25mm / 2-Seitig / Flach / spitz / erstklassiger Stahl / Blätter geschliffen / Griff und mit Plastiküberzug
370	KSK 6 Kegelform lang keramisch ø22x70mm K36		9.60		Kleinschleifkörper KSK / ø 22x 70 mm / Schaft ø 6mmx 40 mm / Korn 24/36 / Aus Siliziumcarbid / Form F / Aufnahme / 6mm
371	KSK 6 Kugelform keramisch ø25mm K36		5.10		Kleinschleifkörper KSK 6 / ø 25mm / Schaft ø 6mm x 40 mm / Korn 24/36 / Aus Siliziumcarbid / Form H / Aufnahme / 6mm
373	KSK 6 Zylinder mit Rundung konvex keramisch ø25x25mm K36		4.40		Kleinschleifkörper KSK / ø 25 x2 5mm oben bombiert / Schaft ø 6mm x 40 mm / Korn 24/26 / Aus Siliziumkarbid, / Form D / Aufnahme / 6mm
374	KSK 6 Kegelform stumpf keramisch ø20x30mm K36		6.50		Kleinschleifkörper KSK / ø 20 x 30mm / Schaft ø 6mm x 40 mm / Korn 24/36 / Aus Siliziumcarbid / Form G / . / Aufnahme / 6mm
3788	Husqvarna DMS 240 Bohrsystem		3		Produktebeschreibung: Das DMS 240 ist ein Bohrsystem bestehend aus elektrischer Bohrmaschine (Kernbohrmaschine) und Bohrständer welches für eine Vielzahl von Bohrarbeiten geeignet ist. Die Kernbohreinheit ist ein ideales System für mittelgroße Bohrlöcher in Wänden, Böden und Dächern (bis zu 250 mm Durchmesser). Der Bohrständer hat verschiedene Einstellmöglichkeiten. Die rückwärtige Stützstrebe gew
3886	AKEMI ACID Cleaner	AKEMI Produkte	24.20		AKEMI Acid Cleaner, frühere Bezeichnung war :Ceramics Zementschleierentferner / konzentriertes Reinigungsmittel auf Basis organischer Säuren mit nichtionischen Tensiden und Hilfsmitteln, keine korrosiven Dämpfe, frei von Lösungsmitteln, geruchsarm, biologisch abbaubar Zur Entfernung von Zement-, Mörtel- und Kalkresten sowie Pflegeschichten und Rückständen von kunststoffvergütetem Fugenmörtel auf s
3887	AKEMI COLOUR BOND Maxi Power / +P6	AKEMI Produkte	53.00		AKEMI COLOUR BOND Kartusche 250ml / Vorgefärbter, gelartiger 2-Komponentenkleber auf Basis Epoxyacrylat in verschiedenen Farben, hohe Klebekraft, sehr schnelle Oberflächentrocknung und Weiterverarbeitbarkeit, lebensmittelunbedenklich (bestätigt durch externes deutsches Prüfinstitut). Verarbeitungszeit: ca. 5-7 Minuten (20°C), Mischungsverhältnis 10:1. Zur schnellen, einfachen und sicheren Herstell
3897	KGS RED K810 Diamant Trennscheibe für Granit Trockenschnitt	Diamantwerkzeuge|Diamanttrennscheiben 45mm -125mm|Diamanttrennscheiben 150mm -230mm	46.00		RED K810 Diamant Trennscheibe Säge, Ø115-230mm, / Bohrung: 22.23 mm / Höhe: 7mm / Breite: 2.2mm / Für Beton, Betonpflaster, Ziegelstein, Dachziegel, Granit, Verbundstein, Kalksandstein, Marmor, Porenbeton, Pflasterstein geeignet. / PREMIUM TRENNSCHEIBE / Universell einsetzbare Scheibe / Schutzsegmente gegen Unterschneiden / Gewellter Stahlkern für einen stabilen Schnitt / Hohe Standzeit / Artikeln
3900	AKEMI Spectrum Pastes Bonding & Repair Set	AKEMI Produkte	1		Reparatur-Set beinhaltet alle 48 Tuben der Spectrum Pastes, den Colour Chart Farbfächer, eine 170 g Einheit PLATINUM P+ L-Spezial, eine 170 g Einheit PLATINUM P+ flüssig sowie Produkte zur Reinigung und Applikation. Diese Artikel sind späterauch als Einzelkomponenten erhältlich / Zum Einfärben von PLATINUM P+ (Epoxyacrylat-Kleber). Farbzuordnungstabellen (Colour Charts) zu den einzelnen Quarzkompo
3901	DMT-Diamantrutscher / Abziehstein DAS 150		209.00		In 4 Körnungen: D 76 - D 15 / von EXTRAGROB-EXTRAFEIN / Der DMT-Diamantrutscher wird in einer Holzschachtel mit Deckel geliefert. / Diamant-Abziehstein zum anschleifen von Bildhauerwerkzeugen. / Keine schmierigen Oele erforderlich / Schärfen Sie trocken oder mit Wasser. / Die Diamantgleichmässigkeit ist auch der Schlüssel zur Verbesserung der Leistung. DMT verwendet ein proprietäres Verfahren, das
